PROPERTY,BLOK,unit,NAMA BLOK,NOMOR,cust,price,status,year,month,Cluster
1,0,0,0,1,111,0,1,0,0,0
1,1,0,0,4,148,0,0,0,10,0
1,2,0,0,9,51,0,1,0,7,0
1,3,0,0,14,137,0,1,0,3,0
1,3,0,0,14,137,0,0,0,4,0
1,4,0,1,1,137,0,0,0,2,0
1,4,0,1,1,137,0,1,0,2,0
1,5,0,1,2,137,0,1,0,6,0
1,6,0,1,3,137,0,1,0,2,0
1,7,0,1,13,137,0,0,0,6,0
1,8,0,2,1,137,0,0,0,4,0
1,9,0,2,2,137,0,1,0,7,0
1,9,0,2,2,137,0,0,0,8,0
1,10,0,2,3,137,0,1,0,5,0
1,11,0,3,10,107,0,1,0,0,0
1,12,0,3,14,136,0,1,0,4,0
1,13,0,3,28,121,0,0,0,3,0
1,14,0,4,28,121,0,1,0,9,0
1,15,0,5,1,121,0,0,0,4,0
1,16,0,5,2,121,0,0,0,10,0
1,17,0,5,3,121,0,1,0,0,0
1,18,0,5,4,121,0,1,0,11,0
1,19,0,5,5,121,0,1,0,8,0
1,20,0,5,6,121,0,1,0,4,0
1,21,0,5,7,121,0,1,0,0,0
1,22,0,5,8,121,0,1,0,6,0
1,23,0,5,9,121,0,1,0,3,0
1,24,0,5,10,121,0,0,0,2,0
1,25,0,5,11,121,0,1,0,6,0
1,26,0,5,12,121,0,1,0,3,0
1,27,0,5,13,121,0,0,0,5,0
1,28,0,5,14,121,0,1,0,2,0
1,29,0,5,15,121,0,1,0,4,0
1,30,0,5,16,121,0,1,0,8,0
1,31,0,5,17,121,0,1,0,3,0
1,32,0,5,18,121,0,0,0,7,0
1,33,0,5,19,121,0,1,0,8,0
1,34,0,5,20,121,0,1,0,7,0
1,35,0,5,21,121,0,1,0,3,0
1,36,0,5,22,121,0,1,0,6,0
1,37,0,5,23,121,0,1,0,8,0
1,38,0,5,24,121,0,1,0,3,0
1,39,0,5,25,121,0,0,0,11,0
1,40,0,5,26,121,0,1,0,9,0
1,41,0,5,27,121,0,1,0,5,0
1,42,0,5,29,62,0,1,0,9,0
1,43,0,5,30,154,0,1,0,4,0
1,44,0,6,1,151,0,0,0,2,0
1,45,0,6,2,146,0,1,0,11,0
1,46,0,6,3,125,0,0,0,4,0
1,47,0,6,4,158,0,1,0,0,0
1,48,0,6,5,102,0,1,0,5,0
1,49,0,6,6,4,0,1,0,0,0
1,50,0,6,7,153,0,0,0,10,0
1,51,0,6,8,143,0,1,0,1,0
1,52,0,6,9,108,0,0,0,4,0
1,53,0,6,10,150,0,1,0,6,0
1,54,0,6,11,152,0,1,0,1,0
1,55,0,6,12,85,0,1,0,1,0
1,56,0,6,13,159,0,0,0,1,0
1,57,0,7,1,110,0,1,0,4,0
1,58,0,7,2,35,0,1,0,4,0
1,59,0,7,3,110,0,1,0,5,0
1,60,0,7,4,117,0,0,0,6,0
1,61,0,7,5,20,0,0,0,5,0
1,62,0,7,6,66,0,1,0,7,0
1,63,0,7,7,71,0,1,0,4,0
1,64,0,7,8,73,0,1,0,4,0
1,65,0,7,9,57,0,1,0,9,0
1,66,0,7,10,104,0,1,0,9,0
1,67,0,7,11,27,0,0,0,8,0
1,68,0,7,12,89,0,1,0,2,0
1,69,0,7,13,63,0,1,0,11,0
1,70,0,7,14,132,0,1,0,1,0
1,71,0,7,15,156,0,1,0,9,0
1,72,0,7,16,141,0,1,0,8,0
1,73,0,7,17,58,0,1,0,7,0
1,74,0,7,18,55,0,1,0,6,0
1,75,0,7,19,25,0,0,0,8,0
1,76,0,7,20,133,0,1,0,2,0
1,77,0,7,21,115,0,1,0,5,0
1,78,0,7,22,0,0,1,0,6,0
1,79,0,7,23,81,0,1,0,6,0
1,80,0,7,24,76,0,1,0,3,0
1,81,0,8,1,118,0,1,0,7,0
1,82,0,8,2,59,0,0,0,6,0
1,83,0,8,3,16,0,1,0,10,0
1,84,0,8,4,155,0,0,0,6,0
1,85,0,8,5,140,0,0,0,11,0
1,86,0,8,6,157,0,0,0,11,0
1,87,0,8,7,106,0,1,0,11,0
1,88,0,8,8,79,0,0,0,4,0
1,89,0,8,9,131,0,1,0,9,0
1,90,0,8,10,11,0,1,0,6,0
1,91,0,8,11,10,0,0,0,2,0
1,92,0,8,12,43,0,0,0,11,0
1,93,0,8,13,130,0,1,0,8,0
1,94,0,8,14,9,0,1,0,5,0
1,95,0,8,15,88,0,1,0,4,0
1,96,0,8,16,2,0,1,0,7,0
1,97,0,8,17,18,0,1,0,4,0
1,98,0,8,18,138,0,1,0,6,0
1,99,0,8,19,126,0,0,0,4,0
